file,role,account,viewport,route,page_or_workflow,state,appendix_section,chapter_4_candidate,captured_at,commit,notes
gen-ed-coordinator/gen-ed-coordinator__outcomes__edit-dialog-open__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/outcomes,"""Edit ILO1"" correction dialog pre-filled from the catalog","dialog open, unchanged",E-9.7,FALSE,2026-09-14,e18c0e4,Edit dialog pre-filled from the catalog; unchanged.
gen-ed-coordinator/gen-ed-coordinator__profile__default__desktop.png,gen-ed-coordinator,demo-gened@cloie.test,1440x900,/gen-ed-coordinator/profile,"Coordinator profile and college-wide scope (""College-Wide"", no portfolio assignment)",default,E-9.2,FALSE,2026-09-14,e18c0e4,College-Wide scope with no portfolio assignment.
gen-ed-coordinator/gen-ed-coordinator__profile__default__mobile.png,gen-ed-coordinator,demo-gened@cloie.test,390x844,/gen-ed-coordinator/profile,"Same profile/scope card, responsive layout",default,E-9.2,FALSE,2026-09-14,e18c0e4,College-Wide scope with no portfolio assignment. Secondary appendix support: E-9.6.
industry-partner/industry-partner__dashboard__verification-pending__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/dashboard,Industry partner portal entry,Verification pending notice with evaluation summary,E-9.2,FALSE,2026-09-14,e18c0e4,Verification-pending notice with the evaluation summary.
industry-partner/industry-partner__dashboard__verification-pending__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/dashboard,Industry partner portal entry on mobile,Verification pending notice and bottom navigation,E-9.6,FALSE,2026-09-14,e18c0e4,
industry-partner/industry-partner__evaluations__pending-empty__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/evaluations,Select an industry partner evaluation,Pending tab empty state: no pending evaluations for this account,E-9.7,FALSE,2026-09-14,e18c0e4,Empty state: no pending evaluations for this account.
industry-partner/industry-partner__evaluations__pending-empty__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/evaluations,Select an industry partner evaluation on mobile,Pending tab empty state: no pending evaluations for this account — Secondary E-9.6.,E-9.7,FALSE,2026-09-14,e18c0e4,Empty state on mobile: no pending evaluations for this account.
industry-partner/industry-partner__evaluations__submitted-confirmation__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/evaluations/cccccccc-cccc-4ccc-8ccc-cccccccccccc/submitted,Review a submitted industry partner evaluation,Frozen competence ratings with timestamp — Numeric competence ratings only in frame.,E-9.5,FALSE,2026-09-14,e18c0e4,Frozen competence ratings with timestamp; numeric ratings only in frame. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
industry-partner/industry-partner__evaluations__submitted-confirmation__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/evaluations/cccccccc-cccc-4ccc-8ccc-cccccccccccc/submitted,Review a submitted evaluation on mobile,Frozen competence ratings with timestamp — Numeric competence ratings only in frame.,E-9.6,FALSE,2026-09-14,e18c0e4,Frozen competence ratings with timestamp; numeric ratings only in frame. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
industry-partner/industry-partner__evaluations__submitted-list__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/evaluations,Select an industry partner evaluation,Submitted tab listing four submitted program-wide deployments,E-9.5,FALSE,2026-09-14,e18c0e4,Submitted tab listing four submitted program-wide deployments.
industry-partner/industry-partner__evaluations__submitted-list__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/evaluations,Select an industry partner evaluation on mobile,Submitted tab listing four submitted program-wide deployments,E-9.6,FALSE,2026-09-14,e18c0e4,Submitted tab listing four submitted program-wide deployments.
industry-partner/industry-partner__evaluations__submitted-qualitative-section__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/evaluations/cccccccc-cccc-4ccc-8ccc-cccccccccccc/submitted,Review a submitted industry partner evaluation,Qualitative and recommendation prompts with redacted confidential answers — Qualitative and recommendation answers redacted with opaque mask blocks.,E-9.5,FALSE,2026-09-14,e18c0e4,Qualitative and recommendation prompts with the confidential answers masked by opaque blocks. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
industry-partner/industry-partner__history__submitted-list__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/history,Review submission history,Submitted industry partner evaluations across academic periods,E-9.5,FALSE,2026-09-14,e18c0e4,
industry-partner/industry-partner__history__submitted-list__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/history,Review submission history on mobile,Submitted industry partner evaluations across academic periods,E-9.6,FALSE,2026-09-14,e18c0e4,
industry-partner/industry-partner__profile__verification-status__desktop.png,industry-partner,demo-industry@cloie.test,1440x900,/industry-partner/profile,View profile and verification status,Company affiliation and verification status with privacy notice,E-9.2,FALSE,2026-09-14,e18c0e4,Company affiliation and verification status with privacy notice.
industry-partner/industry-partner__profile__verification-status__mobile.png,industry-partner,demo-industry@cloie.test,390x844,/industry-partner/profile,View profile on mobile,Company affiliation and verification status,E-9.6,FALSE,2026-09-14,e18c0e4,
program-head/program-head__analytics__outcomes-view__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/analytics,Program analytics,"outcomes tab, all periods",E-9.5,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__analytics__outcomes-view__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/analytics,Program analytics,"outcomes tab, all periods",E-9.6,FALSE,2026-09-14,e18c0e4,Wide tab strip scrolls inside its own container (intended responsive pattern: scrollWidth 488 vs clientWidth 358); page-level overflow measured at 0 px. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__course-assignments__active-period__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/course-assignments?termInstanceId=7a0211d0-5fa8-46e0-abff-9aed2f7d78a9,Course assignments (program-scoped),active period filter,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__course-roster__active-assignment__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/course-rosters/c5c3acc7-5901-4a2b-b5bc-6e6a730fe770,Course roster detail,active assignment roster,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__course-roster__active-assignment__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/course-rosters/c5c3acc7-5901-4a2b-b5bc-6e6a730fe770,Course roster detail,active assignment roster,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__courses__default__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/courses,Program course catalog,default list,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__courses__default__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/courses,Program course catalog,default list,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__dashboard__default__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/dashboard,Program Head dashboard,default (active period),E-9.3,TRUE,2026-09-14,e18c0e4,Representative admin desktop dashboard: program-scoped KPIs for the active period; Chapter 4 pair member 1. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__dashboard__default__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/dashboard,Program Head dashboard,default (active period),E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__instrument-builder__blank-draft__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools/new/blank,Instrument builder,blank draft (nothing saved),E-9.3,FALSE,2026-09-14,e18c0e4,Blank draft; nothing saved. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__instrument-builder__existing-template__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools/ee67ce00-8fcc-4963-8f5b-ebc2a9d4695e/edit,Instrument builder,existing program template open for editing,E-9.3,FALSE,2026-09-14,e18c0e4,Existing program template open for editing; nothing saved. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__navigation__drawer-open__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/dashboard,Primary navigation,mobile navigation drawer open,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcome-mapping__cico-review__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes/mapping,CILO mapping review,default read-only review,E-9.4,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__create-dialog__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome authoring,create dialog open (not saved),E-9.7,FALSE,2026-09-14,e18c0e4,Create dialog open; not saved. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__create-drawer__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome authoring,create drawer open (not saved),E-9.6,FALSE,2026-09-14,e18c0e4,Create drawer open on mobile; not saved. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__edit-dialog__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome authoring,edit dialog open (not saved),E-9.7,FALSE,2026-09-14,e18c0e4,Edit dialog open with existing values; not saved. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__import-dialog__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome CSV import,"import dialog open, no file selected (not imported)",E-9.7,FALSE,2026-09-14,e18c0e4,Import dialog open with no file selected; nothing imported. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__plo-list__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome catalog,default list,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__outcomes__plo-list__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/outcomes,Program Learning Outcome catalog,default list,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__profile__program-scope__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/profile,Program Head profile and scope,program scope,E-9.2,FALSE,2026-09-14,e18c0e4,
program-head/program-head__profile__program-scope__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/profile,Program Head profile and scope,program scope,E-9.6,FALSE,2026-09-14,e18c0e4,
program-head/program-head__program-selection__two-programs__desktop.png,program-head,ph-multi@cloie.test,1440x900,/program-head,Program selection entry,Program Head assigned two programs,E-9.2,FALSE,2026-09-14,e18c0e4,ph-multi@cloie.test holds two Program Head assignments (BEED + BSED); demo-ph holds one and is redirected straight to its program dashboard.
program-head/program-head__program-switcher__menu-open__desktop.png,program-head,ph-multi@cloie.test,1440x900,/program-head/programs/2c5c6ddb-7868-4a64-ac98-56b228dad77c/dashboard,Program switcher,"switcher menu open (BEED active, BSED listed)",E-9.2,FALSE,2026-09-14,e18c0e4,"Switcher menu open (BEED active, BSED listed); the switcher renders only for multi-program Program Heads. Route id resolved at capture time from the running app (seeded UUID)."
program-head/program-head__publication__form-default__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools/publish?templateId=ee67ce00-8fcc-4963-8f5b-ebc2a9d4695e,Program-wide publication,configure step with PLO coverage warning (not published),E-9.3,FALSE,2026-09-14,e18c0e4,Configure step with PLO coverage warning; not published. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__reports__default__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/reports,Program reports,default (export stubs shown as designed),E-9.3,FALSE,2026-09-14,e18c0e4,Export buttons are labelled stubs by design ('Prepared for later PDF and spreadsheet export integration'). Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__course-evaluation-detail__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/course/f1111111-1111-4111-8111-111111111111,Evaluation summary + course responses,summary KPIs and submitted respondent list,E-9.5,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__course-evaluation-detail__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/course/f1111111-1111-4111-8111-111111111111,Evaluation summary + course responses,summary KPIs and submitted respondent list,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__course-evaluations-list__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses,Response review hub,course evaluations list,E-9.5,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__course-evaluations-list__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses,Response review hub,course evaluations list,E-9.6,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__identified-response-detail__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/course/f1111111-1111-4111-8111-111111111111/responses/10d59e06-554b-4646-99b5-44acd2e0c0c7,Identified response review (course-bound),"submitted response detail, quantitative answers + CILO bindings",E-9.5,FALSE,2026-09-14,e18c0e4,Quantitative answers and CILO bindings only; no free-text answer legible. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__identified-response-detail__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/course/f1111111-1111-4111-8111-111111111111/responses/10d59e06-554b-4646-99b5-44acd2e0c0c7,Identified response review (course-bound),submitted response detail,E-9.6,FALSE,2026-09-14,e18c0e4,Quantitative answers and CILO bindings only; no free-text answer legible. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__program-wide-detail__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/program-wide/5605af0d-0ed6-4bea-8fdb-98be93d044f1?tab=program-wide,Program-wide deployment responses,respondent status list (1 of 1 submitted),E-9.5,FALSE,2026-09-14,e18c0e4,Respondent status list (1 of 1 submitted). Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__responses__program-wide-response-detail__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/responses/program-wide/5605af0d-0ed6-4bea-8fdb-98be93d044f1/responses/266379ff-7eb8-41db-9462-01996b32674a?tab=program-wide,Identified response review (program-wide),"submitted industry-partner response detail, PLO bindings",E-9.5,FALSE,2026-09-14,e18c0e4,Quantitative answers and PLO bindings only; no free-text answer legible. Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__tools__published-list__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools?tab=published,Evaluation tools,published deployments tab,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__tools__template-list__desktop.png,program-head,demo-ph@cloie.test,1440x900,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools,Evaluation tools,templates tab,E-9.3,FALSE,2026-09-14,e18c0e4,Route id resolved at capture time from the running app (seeded UUID).
program-head/program-head__tools__template-list__mobile.png,program-head,demo-ph@cloie.test,390x844,/program-head/programs/3e2f8f2d-cef5-40e8-932a-b06939a0f7de/tools,Evaluation tools,templates tab with Publish action (mobile entry to publication),E-9.6,FALSE,2026-09-14,e18c0e4,Mobile coverage of the publication workflow entry point; the mobile configure step is excluded because datetime-local inputs overflow their grid column at 390 px (see README follow-up note). Route id resolved at capture time from the running app (seeded UUID).
secretary/secretary__add-user__blank-form__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users/new,"Add new user — account provisioning form (name, institutional email, role)",Blank default form,E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__add-user__blank-form__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/users/new,Add new user form,"Blank default form, responsive",E-9.6,FALSE,2026-09-14,e18c0e4,
secretary/secretary__add-user__existing-email-pivot__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users/new,Add new user — existing-account handling,"Email of an already-provisioned account entered; form pivots to ""Add role to existing user"" (read-only lookup triggered by blur); nothing submitted",E-9.7,FALSE,2026-09-14,e18c0e4,Email of an already-provisioned account entered; form pivots to 'Add role to existing user' after a read-only lookup; nothing submitted.
secretary/secretary__add-user__role-selected-fields__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users/new,Add new user — role-dependent form fields,"Role Faculty selected, required ""Affiliated program"" field revealed; nothing submitted",E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__course-assignments__workspace__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/course-assignments,"Course Assignments workspace — academic-period, program, year, section, scope and status filters over the assignment table with roster links","Default (read-only; ""View only"" for the Secretary's post-transfer assignment authority)",E-9.3,FALSE,2026-09-14,e18c0e4,Read-only workspace: the Secretary holds View only authority for assignments after transfer.
secretary/secretary__course-assignments__workspace__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/course-assignments,Course Assignments workspace,Default responsive composition,E-9.6,FALSE,2026-09-14,e18c0e4,
secretary/secretary__course-roster__default__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/course-rosters/17b3d82e-ef69-486a-9632-9f0f74713550,Course roster review (canonical shared roster route opened from Course Assignments),Default; roster read-only,E-9.3,FALSE,2026-09-14,e18c0e4,"Canonical shared roster route /course-rosters/[assignmentId], opened from Course Assignments."
secretary/secretary__courses__add-course-dialog-open__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/courses → Add Course,"Course master-data creation dialog (code, title, scope, program, major, defaults)","Dialog open, blank; not saved",E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__courses__catalog__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/courses,"Course catalog workspace — search, scope/program/year/semester/term filters, row actions",Default,E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__courses__edit-course-dialog-open__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/courses → row Actions → Edit,Course master-data edit dialog (ACCTG200 – Advanced Accounting),Dialog open with existing values; not saved,E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__dashboard__default__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/dashboard,"Secretary Dashboard — active academic period, needs-attention counters, quick actions","Default, active period 2026-2027 — 2nd Semester — 2nd Term",E-9.3,FALSE,2026-09-14,e18c0e4,Active period 2026-2027 - 2nd Semester - 2nd Term.
secretary/secretary__dashboard__default__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/dashboard,Secretary Dashboard,Default responsive composition (no overflow),E-9.6,FALSE,2026-09-14,e18c0e4,
secretary/secretary__instrument-builder__edit__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/instruments/d69c589c-4b8b-4dcb-b630-eea6babe1dc9/edit,Instrument builder — edit an existing institutional baseline instrument,Builder loaded with the existing template structure; nothing saved,E-9.3,FALSE,2026-09-14,e18c0e4,Existing template loaded; nothing saved.
secretary/secretary__instrument-builder__new__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/instruments/new,Instrument builder — new institutional baseline instrument,Blank builder; nothing saved,E-9.3,FALSE,2026-09-14,e18c0e4,Blank builder; nothing saved.
secretary/secretary__instruments__library__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/instruments,"Evaluation Tools library — institutional baseline templates, card/list view toggle, per-template actions",Default (card view),E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__programs__default__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/programs,"Academic Programs register (BEED, BSBA, BSED, BSHM, BSIT, BSSW) with status filter and per-program actions",Default,E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__rollover__confirmation__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/school-years/e1111111-1111-4111-8111-111111111111/rollover,"Term rollover — confirmation step (source term 2026-2027 — 2nd Semester — 2nd Term → target term Summer, cohort promotion rules, Preview Rollover)","Confirmation open, not run",E-9.7,FALSE,2026-09-14,e18c0e4,Confirmation step open; Run Rollover deliberately not pressed.
secretary/secretary__rollover__confirmation__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/school-years/e1111111-1111-4111-8111-111111111111/rollover,Term rollover — confirmation step,"Confirmation open, not run, responsive",E-9.6,FALSE,2026-09-14,e18c0e4,Confirmation step open; Run Rollover deliberately not pressed.
secretary/secretary__rollover__preview__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/school-years/e1111111-1111-4111-8111-111111111111/rollover → Preview Rollover,"Term rollover — read-only impact preview (students to process, enrollments to create, already-enrolled skips, exceptions)","Preview loaded (students to process 16, enrollments to create 0, already-enrolled skips; no exceptions table in this run); Run Rollover deliberately not pressed — the preview service is read-only, so no enrollment row was written",E-9.7,FALSE,2026-09-14,e18c0e4,"Read-only impact preview service (counts and skip table); Run Rollover deliberately not pressed, so no enrollment row was written."
secretary/secretary__school-year-detail__structure__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/school-years/e1111111-1111-4111-8111-111111111111,"Academic-period (school year 2026-2027) structure detail — semesters, terms, per-term actions",Default; no lifecycle action invoked,E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__school-years__default__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/school-years,"School Years — active/archived calendar lifecycle (school year → semester → term, Active badges, term actions)",Default (active tab),E-9.3,FALSE,2026-09-14,e18c0e4,
secretary/secretary__school-years__default__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/school-years,School Years lifecycle,Default responsive composition,E-9.6,FALSE,2026-09-14,e18c0e4,
secretary/secretary__users__actions-menu-open__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users?q=demo-,Row-level account actions affordance,Actions menu open (View details / Edit user / Deactivate); no action invoked,E-9.7,FALSE,2026-09-14,e18c0e4,"Actions menu opened on the seeded Demo Program Head row (demo-ph@cloie.test) with the list filtered to the seeded demo accounts (search ""demo-""); no action invoked. Rendered text contains only seeded @cloie.test addresses (earlier non-seeded-address deviation resolved - see README section 8.4)."
secretary/secretary__users__edit-user-dialog-open__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users?q=demo-,"Role-and-profile management dialog for a Program Head account (locked account/role, managed-program assignments)",Dialog open with existing values; not saved,E-9.3,FALSE,2026-09-14,e18c0e4,"Dialog opened for the seeded Program Head account demo-ph@cloie.test with the list filtered to the seeded demo accounts (search ""demo-""); existing values shown, not saved. Only seeded @cloie.test addresses appear (earlier non-seeded-address deviation resolved - see README section 8.4)."
secretary/secretary__users__filter-drawer-open__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/users,"User Management — mobile filter drawer (Program, term placement, verification, Show results / Reset filters)","Filter drawer open, no filter applied",E-9.6,FALSE,2026-09-14,e18c0e4,
secretary/secretary__users__list-default__desktop.png,secretary,demo-secretary@cloie.test,1440x900,/secretary/users?q=demo-,User Management — accounts list with inline role / program / term-placement / verification filters and sortable columns,"Filtered to the seeded demo accounts (search ""demo-""), ascending by name",E-9.3,FALSE,2026-09-14,e18c0e4,"List filtered to the seeded demo accounts (search ""demo-"") so no non-seeded dev-database address appears; ascending by name. Only seeded @cloie.test addresses appear (earlier non-seeded-address deviation resolved - see README section 8.4)."
secretary/secretary__users__list-default__mobile.png,secretary,demo-secretary@cloie.test,390x844,/secretary/users,User Management list,Default responsive composition,E-9.6,FALSE,2026-09-14,e18c0e4,
shared/shared__account-menu__open__desktop.png,shared,demo-secretary@cloie.test,1440x900,/secretary/dashboard,Account / profile menu in the top bar,"Menu open (account name, email, Log out item); nothing activated",E-9.8,FALSE,2026-09-14,e18c0e4,"Account menu open (name, email, Log out); nothing activated."
shared/shared__appearance__dark-selected__desktop.png,shared,demo-secretary@cloie.test,1440x900,/secretary/dashboard,Appearance selector — Dark chosen,Dark appearance applied (html.dark); preference stored per browser only,E-9.8,FALSE,2026-09-14,e18c0e4,Only frame in the set captured in dark appearance (html.dark); preference stored per browser.
shared/shared__appearance__light-restored__desktop.png,shared,demo-secretary@cloie.test,1440x900,/secretary/dashboard,Appearance selector — Light chosen,Light appearance restored (html has no dark class),E-9.8,FALSE,2026-09-14,e18c0e4,Light appearance restored (no dark class); generation-set default appearance.
shared/shared__appearance__selector-open__desktop.png,shared,demo-secretary@cloie.test,1440x900,/secretary/dashboard,Appearance selector (Light / Dark / System),Selector open with Light as the chosen preference (documented default),E-9.8,FALSE,2026-09-14,e18c0e4,Light is the documented default preference.
shared/shared__authenticated-shell__navigation-sidebar__desktop.png,shared,demo-secretary@cloie.test,1440x900,/secretary/programs,Authenticated shell — persistent desktop navigation sidebar + top bar,Default; sidebar item for the current route marked active (aria-current),E-9.8,FALSE,2026-09-14,e18c0e4,"Captured on /secretary/programs; subject is the shared authenticated chrome (top bar + sidebar with aria-current active marker), not the programs content."
shared/shared__landing__default__desktop.png,shared,anonymous,1440x900,/,"Public landing — role entry (""ACD Staff & Faculty"" / ""Students, Alumni & Partners"")","Default, no session, no overlay",E-9.2,FALSE,2026-09-14,e18c0e4,"Public entry point, no session."
shared/shared__landing__default__mobile.png,shared,anonymous,390x844,/,Public landing — role entry paths,Default responsive composition,E-9.6,FALSE,2026-09-14,e18c0e4,
shared/shared__legal-acknowledgement__student-acknowledged__desktop.png,shared,anonymous,1440x900,/portal/respondents → Continue as Student,Legal acknowledgement gate,"Dialog open, checkbox checked (aria-checked=true); not continued — no ticket minted, no OAuth redirect",E-9.7,FALSE,2026-09-14,e18c0e4,"Checkbox checked (aria-checked=true); not continued (no ticket minted, no OAuth redirect)."
